0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
price: 30000,year make model: 2006 chevrolet silverado 2500hd,fuel: diesel,odometer: 236000,title status: clean,transmission: automatic,date time: 2022-12-26 09;13,city:danville,lat:36.831000,long:-79.429700,,,,,,,
price: 23000,year make model: 2016 gmc canyon,condition: excellent,cylinders: 6 cylinders,drive: rwd,fuel: gas,odometer: 49000,paint color: silver,size: mid-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-24 13;22,city:danville,lat:36.577900,long:-79.441100,
price: 14500,year make model: 2011 toyota highlander limited,VIN: 5TDDK3EH9BS079728,condition: excellent,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 169983,paint color: blue,size: mid-size,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-23 03;46,city:danville,lat:36.621800,long:-79.412400
price: 3000,year make model: 2000 2000 lincoln town car,fuel: gas,odometer: 189000,title status: clean,transmission: automatic,date time: 2022-12-22 23;18,city:danville,lat:36.596800,long:-80.037300,,,,,,,
price: 16500,year make model: 1950 Ford,condition: excellent,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 123456,paint color: red,size: mid-size,title status: clean,transmission: manual,type: coupe,date time: 2022-12-22 11;39,city:danville,lat:36.577900,long:-79.441100,
price: 3500,year make model: 2007 vw jetta,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 184000,paint color: black,size: compact,title status: clean,transmission: automatic,date time: 2022-12-20 09;40,city:danville,lat:36.577900,long:-79.441100,,
price: 1500,year make model: 2000 ford taurus,condition: good,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 179000,paint color: white,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-16 13;09,city:danville,lat:36.621800,long:-79.412400,,
price: 8500,year make model: 2006 honda ridgeline 4x4,VIN: 2HJYK165X6H561795,condition: good,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 144655,paint color: white,size: full-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-14 12;51,city:danville,lat:36.659600,long:-79.712000
price: 16995,year make model: 2018 Kia Sportage,condition: good,cylinders: 4 cylinders,drive: 4wd,fuel: gas,odometer: 75000,paint color: silver,size: compact,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-14 10;14,city:danville,lat:36.696300,long:-78.918800,
price: 41000,year make model: 2016 ford f350 super duty lariat,condition: excellent,cylinders: 8 cylinders,drive: 4wd,fuel: diesel,odometer: 108000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-13 18;37,city:danville,lat:36.670716,long:-78.881493,
price: 6500,year make model: 2009 ford focus,condition: excellent,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 98330,paint color: silver,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-13 03;40,city:danville,lat:36.669144,long:-79.416046,,
price: 1400,year make model: 1990 dodge ram w150,fuel: gas,odometer: 195000,title status: clean,transmission: automatic,date time: 2022-12-08 20;10,city:danville,lat:36.606200,long:-78.760500,,,,,,,
price: 3600,year make model: 1988 Gmc r3500,fuel: gas,odometer: 200000,title status: clean,transmission: manual,date time: 2022-12-08 20;00,city:danville,lat:36.606200,long:-78.760500,,,,,,,
price: 5250,year make model: 2004 2004 Chevy Avalanche 4wd,condition: good,cylinders: 8 cylinders,drive: 4wd,fuel: gas,odometer: 273000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-07 11;26,city:danville,lat:36.687100,long:-79.869100,
price: 16900,year make model: 2014 Infiniti Q50S,condition: excellent,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 65000,paint color: white,size: full-size,title status: rebuilt,transmission: automatic,type: sedan,date time: 2022-12-06 10;00,city:danville,lat:36.119223,long:-80.142801,
price: 1500,year make model: 1998 1998 ford expedition 4WD,condition: excellent,cylinders: 8 cylinders,drive: 4wd,fuel: gas,odometer: 240000,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-05 17;04,city:danville,lat:36.390700,long:-79.346500,,,
price: 6800,year make model: 2011 volvo vnl,fuel: diesel,odometer: 713625,title status: clean,transmission: automatic,date time: 2022-12-05 16;56,city:danville,lat:36.831000,long:-79.429700,,,,,,,
price: 12499,year make model: 2014 hyundai sonata limited 2.0t,condition: like new,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 92000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-05 15;05,city:danville,lat:36.642165,long:-79.400141,
